city,url
金沢市,https://tabelog.com/ishikawa/C17201/rstLst/
七尾市,https://tabelog.com/ishikawa/C17202/rstLst/
小松市,https://tabelog.com/ishikawa/C17203/rstLst/
輪島市,https://tabelog.com/ishikawa/C17204/rstLst/
珠洲市,https://tabelog.com/ishikawa/C17205/rstLst/
加賀市,https://tabelog.com/ishikawa/C17206/rstLst/
羽咋市,https://tabelog.com/ishikawa/C17207/rstLst/
かほく市,https://tabelog.com/ishikawa/C17209/rstLst/
白山市,https://tabelog.com/ishikawa/C17210/rstLst/
能美市,https://tabelog.com/ishikawa/C17211/rstLst/
野々市市,https://tabelog.com/ishikawa/C17212/rstLst/
能美郡川北町,https://tabelog.com/ishikawa/C17324/rstLst/
河北郡津幡町,https://tabelog.com/ishikawa/C17361/rstLst/
河北郡内灘町,https://tabelog.com/ishikawa/C17365/rstLst/
羽咋郡志賀町,https://tabelog.com/ishikawa/C17384/rstLst/
羽咋郡宝達志水町,https://tabelog.com/ishikawa/C17386/rstLst/
鹿島郡中能登町,https://tabelog.com/ishikawa/C17407/rstLst/
鳳珠郡穴水町,https://tabelog.com/ishikawa/C17461/rstLst/
鳳珠郡能登町,https://tabelog.com/ishikawa/C17463/rstLst/
